ID,VIDEO,LABEL
1,W01911N.mp4,là gì?
2,W01992.mp4,lí do
3,W00145B.mp4,bao giờ?
4,W00147.mp4,bao nhiêu?
5,D0195B.mp4,đẹp không?
6,D0371.mp4,đói không?
7,D0370.mp4,mệt không?
8,D0119B.mp4,đúng không?
9,D0189B.mp4,muốn không?
10,D0098.mp4,có … không?
11,D0489.mp4,a
12,D0490B.mp4,ă
13,D0491B.mp4,â
14,D0492.mp4,b
15,D0493.mp4,c
16,D0494.mp4,d
17,D0495.mp4,đ
18,D0496.mp4,e
19,D0497B.mp4,ê
20,D0521.mp4,f
21,D0500N.mp4,h
22,D0501.mp4,i
23,D0522.mp4,j
24,D0502.mp4,k
25,D0503.mp4,l
26,D0504.mp4,m
27,D0505.mp4,n
28,D0506.mp4,o
29,D0507B.mp4,ô
30,D0508N.mp4,ơ
31,D0509B.mp4,p
32,D0510.mp4,q
33,D0511.mp4,r
34,D0512.mp4,s
35,D0513B.mp4,t
36,D0514.mp4,u
37,D0515N.mp4,ư
38,D0516.mp4,v
39,D0517N.mp4,x
40,D0526B.mp4,dấu hỏi
41,D0527B.mp4,dấu ngã
42,D0525B.mp4,dấu sắc
43,D0528.mp4,dấu nặng
44,D0524B.mp4,dấu huyền
45,W00395.mp4,ca
46,W00170.mp4,bát
47,W00380.mp4,bút
48,W00424.mp4,cát
49,W00426.mp4,cày
50,W00485.mp4,chai
51,W00545.mp4,chậu
52,W00499.mp4,chày
53,W00553.mp4,chén
54,W00378.mp4,búp bê
55,W00287.mp4,bít tất
56,W00329.mp4,bộ sách
57,W00334.mp4,bồn hoa
58,D0239.mp4,cái gùi
59,D0468.mp4,cái neo
60,W00406.mp4,cái túi
61,W00429.mp4,cặp tóc
62,D0435.mp4,cây nến
63,W00340.mp4,bột giặt
64,W00583.mp4,chìa khóa
65,W00325.mp4,bố
66,W00910.mp4,cụ
67,W02144.mp4,má
68,W00481.mp4,cha
69,D0041.mp4,giỗ
70,W03272.mp4,thím
71,W00327.mp4,bố mẹ
72,W01353.mp4,em út
73,W00020.mp4,anh vợ
74,W00651.mp4,chú rể
75,W00809.mp4,cô dâu
76,W00755.mp4,con đẻ
77,W01349.mp4,em dâu
78,W01350.mp4,em gái
79,W01378N.mp4,gan dạ
80,W02229.mp4,mồ côi
81,W00572.mp4,chị dâu
82,W00752.mp4,con dâu
83,W00760.mp4,con gái
84,W01502.mp4,góc bếp
85,W04068.mp4,con trai
86,W01552.mp4,hàng xóm
87,W00011.mp4,anh chị em
88,W00506.mp4,chú ( người)
89,W00059.mp4,ấn
90,W00288.mp4,bò
91,W00197.mp4,bắt
92,W00174.mp4,bay
93,W00353.mp4,bớt
94,W00479.mp4,cấy
95,W00388.mp4,bước
96,W00489.mp4,chào
97,W00232.mp4,bế em
98,D0600.mp4,ăn cóc
99,W00043.mp4,ăn vặt
100,W00044.mp4,ăn xin
101,W00300.mp4,bóc vỏ
102,W00351.mp4,bơm xe
103,W00438.mp4,câu cá
104,D0257.mp4,ăn vụng
105,W00161.mp4,báo cáo
106,W00166.mp4,báo thù
107,W00426.mp4,cày
108,W00948.mp4,cứu hộ
109,W00332.mp4,bồi bàn
110,W01458.mp4,giáo sĩ
111,W00983.mp4,dân chài
112,W00990.mp4,dẫn chương trình
113,D0530.mp4,1
114,D0539.mp4,10
115,D0531.mp4,2
116,D0532.mp4,3
117,D0533.mp4,4
118,D0544.mp4,40
119,D0534.mp4,5
120,D0536.mp4,7
121,D0537.mp4,8
122,D0545.mp4,80
123,D0538.mp4,9
124,D0546N.mp4,90
125,D0547.mp4,100
126,W00666.mp4,chục
127,W01864.mp4,ki-lô-gam
128,W00977.mp4,dãy số
129,W01731.mp4,ít hơn
130,W01732.mp4,ít nhất
131,W01539.mp4,hàng chục
132,W01547.mp4,hàng trăm
133,W00667.mp4,chục nghìn
134,W00668.mp4,chục triệu
135,W01546.mp4,hàng nghìn
136,W01550.mp4,hàng triệu
137,W01575B.mp4,héc-ta (ha)
138,W01869.mp4,ki-lô-mét (km)
139,W01543.mp4,hàng đơn vị
140,W02195.mp4,mây
141,W00051.mp4,ấm áp
142,W00050.mp4,ẩm ướt
143,W01537.mp4,hạn hán
144,W02271.mp4,mùa thu
145,D0431.mp4,lốc xoáy
146,W02269.mp4,mùa đông
147,W02282.mp4,mưa phùn
148,W01298.mp4,nhiệt độ
149,W01841.mp4,không khí
150,W00000.mp4,ác
151,W00952.mp4,dài
152,W00194.mp4,bằng
153,W00804.mp4,cong
154,W01358.mp4,ế ẩm
155,W00051.mp4,ấm áp
156,W00654.mp4,chú ý
157,W00001.mp4,ác cảm
158,W00002.mp4,ác độc
159,W00050.mp4,ẩm ướt
160,D0338.mp4,ăn bám
161,W00425.mp4,cau có
162,W00449.mp4,cầu kì
163,W00721.mp4,co dãn
164,W00811.mp4,cô đơn
165,W01378N.mp4,gan dạ
166,W00039.mp4,ăn diện
167,D0127.mp4,căm thù
168,W00420.mp4,cao quý
169,D0032.mp4,ai cho
170,D0127.mp4,căm thù
171,W01144.mp4,đầu tiên
172,W01634.mp4,hòa bình
173,W01298.mp4,nhiệt độ
174,D0356.mp4,đau bụng
175,W00843.mp4,công nhận
